# id	name	hp	damage	speed	radius	height	range	r	g	b	metal	rough	boss	category
0	РАЗБОЙНИК	88	15	3.45	.48	1.85	1.42	.28	.24	.22	.12	.72	false	0
1	ГЛАВАРЬ	185	23	3.1	.58	1.85	1.42	.40	.12	.14	.12	.72	false	0
2	СТРАЖНИК	128	18	3.1	.48	1.85	1.42	.28	.30	.32	.62	.72	false	0
3	АРБАЛЕТЧИК	82	17	2.4	.48	1.85	8	.28	.24	.22	.12	.72	false	0
4	МЕРТВЕЦ	78	15	3.55	.48	1.85	1.42	.62	.59	.51	.12	.72	false	1
5	ЗЛОЙ ДУХ	86	15	4.3	.42	1.85	1.42	.31	.36	.45	.12	.72	false	1
6	КОСТЯНОЙ РЫЦАРЬ	235	27	2.55	.62	1.85	1.42	.28	.24	.22	.45	.72	false	1
7	ФАНАТИК	108	15	3.8	.48	1.85	1.42	.36	.31	.27	.12	.72	false	0
8	ПАЛАЧ	270	31	2.35	.72	2.25	1.42	.28	.24	.22	.12	.72	false	0
9	ОДЕРЖИМЫЙ	118	15	3.85	.48	1.85	1.42	.33	.25	.24	.12	.72	false	0
10	ТВАРЬ	170	22	5.1	.66	1	1.42	.42	.12	.16	.12	.72	false	0
11	ДЕМОН ГЛУБИН	620	34	2.25	1.15	3.2	1.42	.27	.09	.12	.12	.72	true	0
12	ТЮРЕМЩИК	165	22	2.7	.61	1.85	1.42	.28	.24	.22	.12	.72	false	0
13	ЗМЕЁНЫШ	132	15	4.6	.62	.8	1.42	.20	.29	.15	.12	.72	false	0
14	ЗМЕИНЫЙ БАРОН	1320	37	2.65	1.35	3.8	2.35	.20	.27	.14	.12	.72	true	0
15	ОТРОДЬЕ	265	27	3.2	.78	2.4	1.42	.38	.10	.17	.12	.72	false	0
16	ГРАФ-АПОСТОЛ	2350	42	1.85	1.75	4.1	2.8	.39	.10	.19	.12	.72	true	0
17	ТЕНЬ	96	15	4.55	.45	1.85	1.42	.12	.08	.16	.12	.72	false	1
18	ЗВЕРЬ БЕЗДНЫ	520	33	4.2	1.1	1.7	1.42	.20	.05	.15	.12	.72	false	0
19	ХРОНОМОТЫЛЁК	105	15	.6	.48	1.6	1.42	.90	.61	.08	.12	.72	false	1
20	ЗЕРКАЛЬНЫЙ ЗАЯЦ	105	12	2.3	.48	1.5	1.42	.65	.17	.93	.12	.72	false	1
21	МАГНИТНАЯ МЕДУЗА	105	15	.6	.48	2.3	1.42	.13	.82	.92	.12	.72	false	1
22	КОСТЯНОЙ КРАБ-КУБ	105	17	2.8	.8	1.0	1.42	.93	.16	.36	.12	.72	false	1
23	ХРАНИТЕЛЬ ШАРИКОВ	105	15	.6	.48	2.3	1.42	.21	.92	.42	.12	.72	false	1
24	ИГРУШЕЧНЫЙ ГОЛЕМ	270	15	1.65	.75	2.6	1.42	.94	.40	.07	.12	.72	false	2
25	БИВНЕВЫЙ КАБАН	190	20	3.2	0.8	1.2	1.7	0.34	0.19	0.1	0.03	0.9	false	0
26	БОЛОТНЫЙ ПЛЕВУН	135	12	2.3	0.72	0.95	1.5	0.17	0.38	0.12	0.02	0.55	false	0
27	ГРОЗОВОЙ ДУХ	155	19	2.7	0.5	2.1	1.6	0.14	0.4	0.9	0.1	0.2	false	1
28	СТРАЖ РОЩИ	280	21	1.9	0.7	2.8	2.1	0.16	0.45	0.24	0.02	0.8	false	1
29	АВТОМАТИЧЕСКИЙ ЧАСОВОЙ	220	11	0	0.65	1.7	1.5	0.4	0.43	0.46	0.9	0.25	false	2
30	МАГНИТНЫЙ ШАГОХОД	310	23	2.5	0.95	1.5	2	0.18	0.37	0.45	0.92	0.22	false	2
31	НЕИЗВЕСТНЫЙ ПОСЕТИТЕЛЬ	180	15	3	0.45	1.95	1.6	0.46	0.58	0.51	0.02	0.38	false	0
32	СКАНИРУЮЩИЙ ДРОН	120	13	2.8	0.48	1.2	1.6	0.38	0.5	0.65	0.94	0.18	false	2
