# id	family	variant	a	b	name	hx	hy	hz	mass
0	0	0	0	0	Мяч с меридианами · 1	0.18	0.18	0.18	0.16
1	0	1	0	0	Полосатый мяч · 1	0.18	0.18	0.18	0.16
2	0	2	0	0	Мяч в горошек · 1	0.18	0.18	0.18	0.16
3	0	3	0	0	Шипастый мяч · 1	0.18	0.18	0.18	0.16
4	0	4	0	0	Шар с кольцами · 1	0.18	0.18	0.18	0.16
5	0	5	0	0	Глаз-шар · 1	0.18	0.18	0.18	0.16
6	0	6	0	0	Мяч с лунками · 1	0.18	0.18	0.18	0.16
7	0	7	0	0	Шар-погремушка · 1	0.18	0.18	0.18	0.16
8	0	0	1	0	Мяч с меридианами · 2	0.255	0.255	0.255	0.3
9	0	1	1	0	Полосатый мяч · 2	0.255	0.255	0.255	0.3
10	0	2	1	0	Мяч в горошек · 2	0.255	0.255	0.255	0.3
11	0	3	1	0	Шипастый мяч · 2	0.255	0.255	0.255	0.3
12	0	4	1	0	Шар с кольцами · 2	0.255	0.255	0.255	0.3
13	0	5	1	0	Глаз-шар · 2	0.255	0.255	0.255	0.3
14	0	6	1	0	Мяч с лунками · 2	0.255	0.255	0.255	0.3
15	0	7	1	0	Шар-погремушка · 2	0.255	0.255	0.255	0.3
16	0	0	2	0	Мяч с меридианами · 3	0.33	0.33	0.33	0.44
17	0	1	2	0	Полосатый мяч · 3	0.33	0.33	0.33	0.44
18	0	2	2	0	Мяч в горошек · 3	0.33	0.33	0.33	0.44
19	0	3	2	0	Шипастый мяч · 3	0.33	0.33	0.33	0.44
20	0	4	2	0	Шар с кольцами · 3	0.33	0.33	0.33	0.44
21	0	5	2	0	Глаз-шар · 3	0.33	0.33	0.33	0.44
22	0	6	2	0	Мяч с лунками · 3	0.33	0.33	0.33	0.44
23	0	7	2	0	Шар-погремушка · 3	0.33	0.33	0.33	0.44
24	1	0	3	0	Кольцо гладкое · 1	0.24	0.075	0.24	0.22
25	1	1	4	0	Кольцо ребристое · 1	0.24	0.075	0.24	0.22
26	1	2	5	0	Кольцо бусинное · 1	0.24	0.075	0.24	0.22
27	1	3	6	0	Кольцо звёздчатое · 1	0.24	0.075	0.24	0.22
28	1	4	7	0	Кольцо двойное · 1	0.24	0.075	0.24	0.22
29	1	5	8	0	Кольцо спиральное · 1	0.24	0.075	0.24	0.22
30	1	6	3	1	Кольцо гладкое · 2	0.285	0.093	0.285	0.22
31	1	7	4	1	Кольцо ребристое · 2	0.285	0.093	0.285	0.22
32	1	8	5	1	Кольцо бусинное · 2	0.285	0.093	0.285	0.22
33	1	9	6	1	Кольцо звёздчатое · 2	0.285	0.093	0.285	0.22
34	1	10	7	1	Кольцо двойное · 2	0.285	0.093	0.285	0.22
35	1	11	8	1	Кольцо спиральное · 2	0.285	0.093	0.285	0.22
36	1	12	3	2	Кольцо гладкое · 3	0.32999998	0.111	0.32999998	0.22
37	1	13	4	2	Кольцо ребристое · 3	0.32999998	0.111	0.32999998	0.22
38	1	14	5	2	Кольцо бусинное · 3	0.32999998	0.111	0.32999998	0.22
39	1	15	6	2	Кольцо звёздчатое · 3	0.32999998	0.111	0.32999998	0.22
40	1	16	7	2	Кольцо двойное · 3	0.32999998	0.111	0.32999998	0.22
41	1	17	8	2	Кольцо спиральное · 3	0.32999998	0.111	0.32999998	0.22
42	1	18	3	3	Кольцо гладкое · 4	0.375	0.12900001	0.375	0.22
43	1	19	4	3	Кольцо ребристое · 4	0.375	0.12900001	0.375	0.22
44	1	20	5	3	Кольцо бусинное · 4	0.375	0.12900001	0.375	0.22
45	1	21	6	3	Кольцо звёздчатое · 4	0.375	0.12900001	0.375	0.22
46	1	22	7	3	Кольцо двойное · 4	0.375	0.12900001	0.375	0.22
47	1	23	8	3	Кольцо спиральное · 4	0.375	0.12900001	0.375	0.22
48	2	0	1	0	Куб с цифрой 1	0.19	0.19	0.19	0.3
49	2	1	2	0	Куб с цифрой 2	0.19	0.19	0.19	0.3
50	2	2	3	0	Куб с цифрой 3	0.19	0.19	0.19	0.3
51	2	3	4	0	Куб с цифрой 4	0.19	0.19	0.19	0.3
52	2	4	5	0	Куб с цифрой 5	0.19	0.19	0.19	0.3
53	2	5	6	0	Куб с цифрой 6	0.19	0.19	0.19	0.3
54	2	6	7	0	Куб с цифрой 7	0.19	0.19	0.19	0.3
55	2	7	8	0	Куб с цифрой 8	0.19	0.19	0.19	0.3
56	2	8	1	1	Кубик-счёт 1	0.215	0.215	0.215	0.3
57	2	9	2	1	Кубик-счёт 2	0.215	0.215	0.215	0.3
58	2	10	3	1	Кубик-счёт 3	0.215	0.215	0.215	0.3
59	2	11	4	1	Кубик-счёт 4	0.215	0.215	0.215	0.3
60	2	12	5	1	Кубик-счёт 5	0.215	0.215	0.215	0.3
61	2	13	6	1	Кубик-счёт 6	0.215	0.215	0.215	0.3
62	2	14	7	1	Кубик-счёт 7	0.215	0.215	0.215	0.3
